sheet,cell,formula,constant_value,constant_description,verification_status
TABLA DE ACCESORIOS SUCCION,I29,=((D29*F29)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H29,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I30,=((D30*F30)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H30,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I31,=((D31*F31)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H31,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I32,=((D32*F32)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H32,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I33,=((D33*F33)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H33,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I34,=((D34*F34)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H34,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I35,=((D35*F35)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H35,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I36,=((D36*F36)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H36,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I37,=((D37*F37)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H37,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I38,=((D38*F38)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H38,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I39,=((D39*F39)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H39,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
005PU001,H10,='RESUMEN PARA PDF'!G25/3.281,3.281,Meters to feet conversion,KNOWN
RESUMEN PARA PDF,D13,=B13*3.785,3.785,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D15,=B15*3.785,3.785,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D16,=B16*3.785,3.785,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D19,=B19/3.28,3.28,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D20,=B20/3.28,3.28,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D21,=B21/3.28,3.28,UNVERIFIED - needs analysis,UNVERIFIED
RESUMEN PARA PDF,D28,=B28/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
VELOCIDADES RECOMENDADAS,AB5,=(AA5*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB5,=(AA5*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB6,=(AA6*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB6,=(AA6*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB7,=(AA7*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB7,=(AA7*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB8,=(AA8*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB8,=(AA8*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB9,=(AA9*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB9,=(AA9*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB10,=(AA10*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB10,=(AA10*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB11,=(AA11*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB11,=(AA11*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB12,=(AA12*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB12,=(AA12*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB13,=(AA13*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB13,=(AA13*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB14,=(AA14*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB14,=(AA14*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB15,=(AA15*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB15,=(AA15*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB16,=(AA16*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB16,=(AA16*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB17,=(AA17*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB17,=(AA17*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB18,=(AA18*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB18,=(AA18*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB19,=(AA19*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB19,=(AA19*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB20,=(AA20*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB20,=(AA20*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB21,=(AA21*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB21,=(AA21*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB22,=(AA22*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB22,=(AA22*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB23,=(AA23*3.2808)/1.422,3.2808,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,AB23,=(AA23*3.2808)/1.422,1.422,UNVERIFIED - needs analysis,UNVERIFIED
VELOCIDADES RECOMENDADAS,V27,=(2.3071*'CALCULO DE BOMBA'!C8)-('CALCULO DE BOMBA'!E9+'CALCULO DE BOMBA'!C9+'CALCULO DE BOMBA'!C11),2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
VELOCIDADES RECOMENDADAS,V28,=(2.3071*'CALCULO DE BOMBA'!E8)-('CALCULO DE BOMBA'!E9+'CALCULO DE BOMBA'!C9+'CALCULO DE BOMBA'!C11),2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
VELOCIDADES RECOMENDADAS,V29,=(2.3071*'CALCULO DE BOMBA'!C8)+'CALCULO DE BOMBA'!C9-('CALCULO DE BOMBA'!E9+'CALCULO DE BOMBA'!C11),2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
VELOCIDADES RECOMENDADAS,V30,=(2.3071*'CALCULO DE BOMBA'!E8)+'CALCULO DE BOMBA'!C9-('CALCULO DE BOMBA'!E9+'CALCULO DE BOMBA'!C11),2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
REPORTE GENERAL,C16,=C14*0.05,0.05,UNVERIFIED - needs analysis,UNVERIFIED
